Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.2,EN_NPi2020_300f,P2a,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.3872,7.9476,7.5531,7.2288,6.8772,6.5129,6.1757,5.8292,5.4925,5.1607,4.8288,4.4963,4.1604,3.8312,3.5077,3.192
AIM/CGE 2.2,EN_NPi2020_400f,P2a,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.3872,7.9531,7.5802,7.257,6.8928,6.5073,6.1626,5.8261,5.4854,5.1515,4.8183,4.4865,4.1512,3.8227,3.4996,3.1846
AIM/CGE 2.2,EN_NPi2020_500f,P2a,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.3872,7.9679,7.6098,7.2789,6.906,6.5074,6.1554,5.8248,5.4801,5.1445,4.8091,4.4776,4.1434,3.8157,3.4932,3.1786
AIM/CGE 2.2,EN_NPi2020_600,P2a,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.3872,7.9476,7.5365,7.2016,6.8678,6.5202,6.1823,5.8411,5.5019,5.1648,4.8262,4.4876,4.1468,3.8141,3.4895,3.174
AIM/CGE 2.2,EN_NPi2020_600f,P2a,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.388,7.9841,7.64,7.2943,6.9154,6.5141,6.1478,5.815,5.478,5.1392,4.8027,4.4699,4.1368,3.8097,3.4878,3.1739
AIM/CGE 2.2,EN_NPi2020_700,P2a,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.3872,7.9476,7.5614,7.2369,6.8829,6.511,6.1741,5.8335,5.4939,5.1561,4.8174,4.4787,4.1382,3.8062,3.482,3.1669
AIM/CGE 2.2,EN_NPi2020_700f,P2a,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.3929,8.0038,7.6663,7.3083,6.9234,6.5242,6.1431,5.8074,5.4758,5.1345,4.7975,4.4638,4.1309,3.8043,3.483,3.1699
AIM/CGE 2.2,EN_NPi2020_800,P2a,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.3872,7.9616,7.5981,7.2728,6.9013,6.5055,6.1566,5.8259,5.4858,5.1468,4.8074,4.4686,4.1283,3.797,3.4729,3.1583
AIM/CGE 2.2,EN_NPi2020_800f,P2a,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.4,8.0226,7.6808,7.3153,6.9303,6.5316,6.1457,5.8012,5.4673,5.1317,4.7933,4.4588,4.1261,3.8005,3.4795,3.1667
AIM/CGE 2.2,EN_NPi2020_900,P2a,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.388,7.9841,7.64,7.2943,6.9154,6.5141,6.1478,5.815,5.4811,5.1422,4.8018,4.4627,4.1233,3.7924,3.4687,3.1545
AIM/CGE 2.2,EN_NPi2020_900f,P2a,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.4094,8.0399,7.6979,7.3223,6.9358,6.5366,6.1511,5.7917,5.4578,5.129,4.7893,4.4547,4.121,3.7969,3.4761,3.1636
AIM/CGE 2.2,EN_NPi2100,P1b,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.5975,8.2693,7.8829,7.4956,7.1035,6.7044,6.3157,5.9376,5.566,5.1981,4.8329,4.4732,4.1167,3.7702,3.4361,3.1154
AIM/Hub-Global 2.0,1.5C,P2a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.4009,11.2136,12.0469,12.8322,13.7369,14.8108,15.9749,17.0777,18.0848,19.098,20.2297,21.2833,22.0153,22.642,23.1291,23.3698,23.3155
AIM/Hub-Global 2.0,2.5C,P2a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.3854,11.3697,12.3769,13.3671,14.3998,15.3965,16.4356,17.5101,18.6276,19.7944,20.9318,21.9783,22.8418,23.4789,23.967,24.1511,24.0306
AIM/Hub-Global 2.0,2C,P2a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.3854,11.2942,12.2512,13.1835,14.1666,15.1671,16.2276,17.3479,18.509,19.7092,20.8536,21.9088,22.7643,23.405,23.8863,24.0671,23.9516
AIM/Hub-Global 2.0,Baseline,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.3858,11.4095,12.4186,13.4039,14.4357,15.4836,16.5647,17.7043,18.8838,20.0971,21.2733,22.3485,23.2215,23.8565,24.2506,24.3927,24.2594
AIM/Hub-Global 2.0,WB2C,P2a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.4009,11.2554,12.06,12.9032,13.9917,15.0945,16.2054,17.353,18.5424,19.7603,20.8902,21.8593,22.5764,22.9035,23.0416,23.2973,23.266
COFFEE 1.1,CO_2Deg2020,P2a,Final Energy|Industry|Solids|Biomass,EJ/yr,5.84535872593872,4.23171173704651,3.69218084845666,2.84237240396112,4.11094810324656,7.34669426369232,17.7097737333794,20.6669997998737,23.624225866368,26.896569029424,30.16891219248,30.005025200800556,29.8411382091211,38.93448258718056,48.02782696524,49.683166897046405,51.3385068288528
COFFEE 1.1,CO_2Deg2030,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,5.84535872593872,4.09118514862608,5.87152133591184,2.61699847865568,3.70528654776912,7.86039472843646,16.6896767724293,21.34996836975865,26.010259967088,28.539594865944,31.0689297648,30.091492085112,29.114054405424,38.345165276472,47.57627614752,48.991692402,50.40710865648
COFFEE 1.1,CO_BAU,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,5.84535872593872,3.99349792943568,11.7189112802525,15.5093219814182,18.9260385857237,18.9247412281118,19.4960681311478,20.889385038828003,22.2827019465082,24.8721629359414,27.4616239253746,29.47607606015065,31.4905281949267,38.42909638555535,45.367664576184,46.6917529325976,48.0158412890112
COFFEE 1.1,CO_Bridge,P3c,Final Energy|Industry|Solids|Biomass,EJ/yr,5.84535872593872,4.01404370164805,3.26954912810789,2.2041570861072,2.42316098274442,3.29566443430176,5.28920301930307,9.320816537359434,13.3524300554158,15.4592263256879,17.56602259596,17.89808520387275,18.2301478117855,23.97143687387435,29.7127259359632,29.8471292206704,29.9815325053776
COFFEE 1.1,CO_CurPol,P1b,Final Energy|Industry|Solids|Biomass,EJ/yr,5.84535872593872,4.16495769384485,3.29777193346272,2.4967787912496,2.68251219391637,2.7687260923992,2.42320534077744,2.12342518596384,1.82364503115024,1.85002659935568,1.87640816756112,1.92438126734616,1.9723543671312,2.32303645582776,2.67371854452432,2.85326021631816,3.032801888112
COFFEE 1.1,CO_GPP,P1d,Final Energy|Industry|Solids|Biomass,EJ/yr,5.84535872593872,4.01404370164805,3.26954912810789,1.95934489651685,2.2730311030392,2.29049109947448,2.29623749794008,2.48112096809976,2.66600443825944,2.89246757687532,3.1189307154912,3.15666243131616,3.19439414714112,3.2419674883908,3.28954082964048,3.28818493506312,3.28682904048576
COFFEE 1.1,CO_NDCplus,P1c,Final Energy|Industry|Solids|Biomass,EJ/yr,5.84535872593872,4.09118514862608,5.87152133591184,1.91780965233504,1.85352392964586,1.92597714836064,1.95731523306043,2.249951467989095,2.54258770291776,2.28262611189816,2.02266452087856,2.32063333631064,2.61860215174272,2.91788328530736,3.217164418872,3.809685737196,4.40220705552
COFFEE 1.1,EN_INDCi2030_1000,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,5.84535872593872,4.09118514862608,5.87152133591184,2.66524824203424,4.3270258117824,10.4956103181125,17.6816277125712,21.9688424227656,26.25605713296,26.45536213008,26.6546671272,25.5317616216,24.408856116,26.2607217890724,28.1125874621448,27.6151579036956,27.1177283452464
COFFEE 1.1,EN_INDCi2030_1000_COV_NDCp,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,5.91951858095145,4.07961930996691,3.25085081632762,3.07838440081786,4.37478118245072,7.51515059297808,17.5093417637136,20.2522086199368,22.99507547616,23.853771490752003,24.712467505344,22.04725539852,19.382043291696,17.52680173602385,15.6715601803517,14.686167329903553,13.7007744794554
COFFEE 1.1,EN_INDCi2030_1000_NDCp,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,5.82006639666672,4.08172316760288,5.75909594183088,2.90728234317024,4.43962654980768,13.5607553212637,18.3800563456363,19.82442511785815,21.26879389008,21.432683328480003,21.59657276688,21.09369056544,20.590808364,21.8554690862631,23.1201298085262,22.93767266773315,22.7552155269401
COFFEE 1.1,EN_INDCi2030_1000f,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,5.84535872593872,4.09118514862608,5.87152133591184,2.04084508342514,2.28107268857311,2.77393462060666,4.14213197282244,12.02612913236702,19.9101262919116,24.1852665412046,28.4604067904976,29.8487334856093,31.237060180721,37.5716892069961,43.9063182332712,45.3633314594587,46.8203446856462
COFFEE 1.1,EN_INDCi2030_1000f_COV_NDCp,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,5.91951858095145,4.07961930996691,3.25085081632762,2.3238004490136,2.26124799609888,2.44921991477472,2.86148125022256,7.23627819704663,11.6110751438707,15.60976839625535,19.60846164864,22.933534186296,26.258606723952,28.6243208727048,30.9900350214576,31.638285612648,32.2865362038384
COFFEE 1.1,EN_INDCi2030_1000f_NDCp,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,5.82006639666672,4.08172316760288,5.75909594183088,2.1761883390888,2.40426264603168,2.8601622803592,3.3474101865552,8.1697835319336,12.992156877312,16.656837177312,20.321517477312,22.900972241376,25.48042700544,33.6701987905392,41.8599705756384,43.0927160133888,44.3254614511392
