Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.2,EN_INDCi2030_1600f,P3b,Primary Energy|Coal,EJ/yr,188.9912,187.4314,190.5167,147.9183,145.4567,144.7567,135.2994,131.75,130.1088,123.185,108.8705,97.493,86.8758,75.957,66.9809,59.5058,52.6041
AIM/CGE 2.2,EN_INDCi2030_1800,P3b,Primary Energy|Coal,EJ/yr,188.9912,187.4314,190.5167,147.9183,151.9021,145.7059,134.0606,129.5654,128.1744,127.8508,117.0796,106.7291,96.3923,85.2694,76.0337,67.699,59.904
AIM/CGE 2.2,EN_INDCi2030_1800f,P3b,Primary Energy|Coal,EJ/yr,188.9912,187.4314,190.5167,147.9183,151.9021,145.7059,134.0606,129.5654,128.1744,127.8508,117.0796,106.7291,96.3923,85.2694,76.0337,67.699,59.904
AIM/CGE 2.2,EN_INDCi2030_800f,P3b,Primary Energy|Coal,EJ/yr,188.9912,187.4314,190.5167,147.9183,94.8446,86.1074,85.3285,83.3401,68.25,55.2371,46.162,40.1516,35.807,31.8073,28.2287,24.9987,22.1685
AIM/CGE 2.2,EN_INDCi2030_900f,P3b,Primary Energy|Coal,EJ/yr,188.9912,187.4314,190.5167,147.9183,94.9153,92.2875,93.7067,85.5938,70.169,57.2572,46.3115,39.9731,35.6905,31.7362,28.1837,24.967,22.144
AIM/CGE 2.2,EN_INDCi2100,P1c,Primary Energy|Coal,EJ/yr,188.9912,187.4314,190.5167,187.194,180.0448,171.956,156.873,149.8378,143.6678,136.2372,130.5096,132.0785,128.5309,121.7148,116.2137,110.6301,105.2312
AIM/CGE 2.2,EN_NPi2020_1000,P2a,Primary Energy|Coal,EJ/yr,188.9912,120.3586,107.1632,122.0916,134.1056,137.7131,127.196,109.3775,93.3721,79.6264,67.822,58.5858,51.8839,46.3399,41.2443,36.5338,32.3449
AIM/CGE 2.2,EN_NPi2020_1000f,P2a,Primary Energy|Coal,EJ/yr,188.9912,127.789,124.0956,140.221,147.9988,149.6535,137.9544,133.789,117.6393,101.1917,86.9427,73.9109,63.6242,53.4972,44.6617,39.3239,35.0364
AIM/CGE 2.2,EN_NPi2020_1200,P2a,Primary Energy|Coal,EJ/yr,188.9912,126.6111,122.0985,139.5054,147.668,149.9322,139.1736,131.8449,115.2191,99.1874,84.7531,72.823,65.6515,58.8121,52.3975,46.5484,41.1022
AIM/CGE 2.2,EN_NPi2020_1200f,P2a,Primary Energy|Coal,EJ/yr,188.9912,133.3497,133.8702,144.1555,148.7348,148.5769,137.2495,133.9726,127.3371,111.4272,96.1737,82.8956,72.3646,62.0826,53.4824,47.4012,42.0963
