Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.2,EN_NPi2020_700,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,0.6757,0.2588,0.1628,0.1528,0.1229,0.0715,0.0431,0.0313,0.0221,0.0157,0.011,0.0079,0.0057,0.0042,0.003,0.0023
AIM/CGE 2.2,EN_NPi2020_700f,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,0.6974,0.3519,0.3272,0.2843,0.1985,0.1101,0.0513,0.0324,0.0218,0.0132,0.0079,0.0048,0.0032,0.0025,0.0019,0.0014
AIM/CGE 2.2,EN_NPi2020_800,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,0.6757,0.2787,0.2061,0.2031,0.1511,0.0799,0.05,0.0299,0.0215,0.0154,0.0109,0.0079,0.0057,0.0042,0.0031,0.0023
AIM/CGE 2.2,EN_NPi2020_800f,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,0.7249,0.3896,0.3613,0.299,0.2114,0.1203,0.0618,0.0347,0.0236,0.0147,0.0089,0.0053,0.0033,0.0025,0.0019,0.0014
AIM/CGE 2.2,EN_NPi2020_900,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,0.6788,0.3169,0.2737,0.2488,0.1807,0.0964,0.0467,0.0314,0.0212,0.0154,0.011,0.008,0.0058,0.0043,0.0031,0.0023
AIM/CGE 2.2,EN_NPi2020_900f,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,0.7642,0.4314,0.4169,0.3216,0.2269,0.1289,0.0699,0.0368,0.0245,0.016,0.0097,0.0059,0.0036,0.0024,0.0019,0.0014
AIM/CGE 2.2,EN_NPi2100,P1b,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,4.0166,3.1514,2.4228,1.6396,1.0805,0.7912,0.636,0.5553,0.5142,0.4457,0.3659,0.2904,0.2313,0.1882,0.1553,0.1279
AIM/Hub-Global 2.0,1.5C,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.7397,0.9426,0.379,0.1467,0.0715,0.0543,0.0498,0.0339999999999999,0.0165,0.0084,0.0062,0.0046,0.003,0.0019,0.0015,0.001,0.0008
AIM/Hub-Global 2.0,2.5C,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.4585,2.3935,2.0196,1.698,1.3594,0.9124,0.6081,0.3848,0.2344,0.1514,0.0988,0.0675,0.0468,0.0327,0.0222,0.0153999999999999,0.0101999999999999
AIM/Hub-Global 2.0,2C,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.4585,1.5654,1.0836,0.7288,0.4653,0.3087,0.2184,0.1495,0.0963,0.065,0.043,0.0311,0.0227,0.0163,0.0112,0.0079999999999999,0.0054
AIM/Hub-Global 2.0,Baseline,P1a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.4852,2.8117,2.2377,1.8039,1.4593,1.0888,0.9196,0.8629,0.8796,0.9058,0.8726,0.7329,0.5778,0.4343,0.2313,0.1318,0.0918
AIM/Hub-Global 2.0,WB2C,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.7397,1.224,0.4432,0.2116,0.1903,0.1675,0.1317,0.0938,0.0612,0.0403,0.0242999999999999,0.0136999999999999,0.0074,0.0032999999999999,0.0016,0.0013,0.001
EDGE-Buildings 1.0,SSP1,P1a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,2.30507050041016,1.13355600370061,0.954748971810722,0.749077939219481,0.643650506797484,0.54715523607525,0.490902985013903,0.445391820118979,0.40934323287838,0.380298992284746,0.355507755626648,0.339119870004475,0.321010585029507,0.30144542229404,0.280991707095117,0.259948297083071,0.238718628180401
