Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.1,EMF33_Med2C_nobeccs,P2b,Emissions|CO2,Mt CO2/yr,43739.2684,32683.1463,25600.2049,22993.1284,22919.0162,18235.0988,16315.3414,10596.5211,8995.4568,7035.6529,6982.8377,8000.1284,7928.3329,8234.3669,8817.939,9314.6385,9539.1609
AIM/CGE 2.1,EMF33_Med2C_nofuel,P2b,Emissions|CO2,Mt CO2/yr,43755.4777,32715.811,25674.869,22396.8625,21440.8065,16523.54,16639.1663,10770.1429,9176.4123,7074.9844,6608.6982,7404.8088,7432.1068,8108.89,8676.4101,9007.8357,9320.5865
AIM/CGE 2.1,EMF33_Med2C_none,P2b,Emissions|CO2,Mt CO2/yr,43793.4837,32790.8793,25796.7388,22561.0679,20965.6983,16458.7095,16105.9746,11426.491,9864.9874,7647.3689,6707.8069,7523.4914,7192.0755,8131.4129,8903.8768,9285.8884,9584.2796
AIM/CGE 2.1,EMF33_WB2C_cost100,P2b,Emissions|CO2,Mt CO2/yr,43736.3442,32690.4514,25635.644,14850.9901,14951.0417,9870.6822,8028.0765,2881.9281,-97.5015,-2751.0195,-3308.3976,-1656.3051,-1987.684,-1279.9679,-1001.174,-656.325,-347.1958
AIM/CGE 2.1,EMF33_WB2C_full,P2b,Emissions|CO2,Mt CO2/yr,43739.2684,32683.1463,25600.7516,14776.9383,16640.2318,11334.8486,9561.8792,3581.3874,-110.3993,-2532.273,-2868.4306,-1228.6756,-1169.9062,-618.7052,72.157,-61.075,814.6376
AIM/CGE 2.1,EMF33_tax_hi_full,P2a,Emissions|CO2,Mt CO2/yr,45387.1026,34681.3786,34836.2742,32810.1839,30168.4486,27039.3949,23022.9034,18592.8336,13703.3102,9734.3065,7550.4238,5869.9679,4556.1748,3284.3487,2072.1281,872.0589,-276.5013
AIM/CGE 2.1,EMF33_tax_hi_none,P2a,Emissions|CO2,Mt CO2/yr,45400.1338,34966.4024,35333.5451,33657.8622,31548.2319,28809.4839,25532.508,21957.5032,18208.0675,14962.6198,13555.8954,12336.165,11147.9707,9857.8375,8513.9637,7070.8598,5553.6536
AIM/CGE 2.1,EMF33_tax_lo_full,P2a,Emissions|CO2,Mt CO2/yr,45387.1026,36975.203,39053.7044,38646.9987,38482.5103,38220.4897,37547.6591,36894.7933,35199.279,32823.4266,29527.7046,25642.4888,21356.3318,17867.3364,13993.0628,11885.3671,9885.1026
AIM/CGE 2.1,EMF33_tax_lo_none,P2a,Emissions|CO2,Mt CO2/yr,45400.1338,37248.324,39444.2174,39398.3361,39665.4206,39801.7676,39572.7474,39331.1387,38154.821,36329.8361,33480.6479,29875.8036,25938.5274,23224.3219,19859.1521,18373.5622,17063.673
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,P2,Emissions|CO2,Mt CO2/yr,38995.4282,30261.0102,19725.4363,8663.6334,6200.6457,3907.3671,1749.3975,-916.7166,-2602.216,-3774.3033,-4687.898,-5346.2951,-6078.7119,-6939.1161,-7828.8792,-8814.3516,-9040.7774
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,P2,Emissions|CO2,Mt CO2/yr,40326.8225,31407.6251,20727.2468,9349.7229,6751.9642,4416.3612,2357.0416,-11.2104,-1600.5369,-2707.7592,-3528.267,-4290.794,-5058.9595,-5987.2329,-6944.3885,-7971.3917,-8122.0548
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,P2,Emissions|CO2,Mt CO2/yr,38995.4282,29942.3948,22985.8237,20685.5269,17578.1407,13923.2774,10226.7431,6925.9911,4183.5589,1931.9389,65.7213,-1423.9117,-2548.9616,-3333.2714,-4127.0907,-4956.3871,-5890.1921
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,P2,Emissions|CO2,Mt CO2/yr,40326.8225,31078.909,24086.481,21823.964,18671.2985,14946.5604,11069.1624,7631.6064,4797.1632,2456.0978,716.2522,-187.2364,-1022.7119,-1916.7907,-2791.1951,-3724.2313,-4821.5462
AIM/CGE 2.1,TERL_Baseline_LowCarbonTransportPolicy,P1a,Emissions|CO2,Mt CO2/yr,39604.4268,42066.4445,43822.9296,45482.3113,46566.1074,47069.3239,46474.0845,47059.2826,48137.6127,49852.0325,52116.8431,54610.0225,56720.7281,58541.9319,58855.0214,58966.0558,60134.7484
AIM/CGE 2.1,TERL_Baseline_NoTransportPolicy,P1a,Emissions|CO2,Mt CO2/yr,41285.0278,44309.9034,46599.0114,48674.5628,50032.7243,50763.6556,50325.3102,51281.9904,52777.8495,54829.8534,57346.8932,60009.0649,62220.3403,64158.4033,64354.255,65194.9574,66678.5623
AIM/CGE 2.2,EN_INDCi2030_1000f,P3b,Emissions|CO2,Mt CO2/yr,42049.6801,42035.9062,41943.5164,36667.5978,24590.106,20392.7862,17295.4727,12214.4794,6137.1369,1056.3508,-3087.4788,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0
AIM/CGE 2.2,EN_INDCi2030_1200,P3b,Emissions|CO2,Mt CO2/yr,42049.6801,42035.9062,41943.5164,36667.5978,24934.7735,21231.58,18096.6118,13505.498,7248.0514,1995.1289,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
AIM/CGE 2.2,EN_INDCi2030_1200f,P3b,Emissions|CO2,Mt CO2/yr,42049.6801,42035.9062,41943.5164,36667.5978,27124.4309,24837.7832,21698.915,18005.7788,12821.0196,6738.3532,1687.706,-2495.4663,-5937.1781,-6000.0,-6000.0,-6000.0,-6000.0
AIM/CGE 2.2,EN_INDCi2030_1400,P3b,Emissions|CO2,Mt CO2/yr,42049.6801,42035.9062,41943.5164,36667.5978,28328.5573,26395.6129,23381.7486,19883.555,16064.976,9605.1529,4116.2194,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
AIM/CGE 2.2,EN_INDCi2030_1400f,P3b,Emissions|CO2,Mt CO2/yr,42049.6801,42035.9062,41943.5164,36667.5978,30217.2408,28413.4837,25556.7525,22301.6657,18863.7622,14146.8057,7991.1557,2806.647,-1523.7282,-4944.5245,-6000.0,-6000.0,-6000.0
AIM/CGE 2.2,EN_INDCi2030_1600,P3b,Emissions|CO2,Mt CO2/yr,42049.6801,42035.9062,41943.5164,36667.5978,31501.0837,29552.0298,26782.1093,23659.1842,20367.4482,16336.6104,10465.5557,4904.1924,233.0001,-0.01,-0.01,-0.01,-0.01
AIM/CGE 2.2,EN_INDCi2030_1600f,P3b,Emissions|CO2,Mt CO2/yr,42049.6801,42035.9062,41943.5164,36667.5978,32812.2633,30648.9598,27961.6711,24963.0589,21808.5174,17924.6646,12940.7663,7011.929,2004.625,-1507.769,-2994.5898,-3012.2589,-3018.3395
