Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.2,EN_NPi2020_1800f,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,12.5933,11.2832,9.97,8.7026,7.0007,4.7268,3.391,2.3295,1.4977,1.1246,0.8927,0.7825,0.6613,0.5923,0.54,0.492
AIM/CGE 2.2,EN_NPi2020_300f,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,6.793,2.3313,1.6114,1.9963,1.929,1.3398,0.9853,0.7078,0.4814,0.3583,0.2913,0.2503,0.2211,0.1968,0.1745,0.1553
AIM/CGE 2.2,EN_NPi2020_400f,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,6.793,2.4377,2.038,2.4952,2.1823,1.4621,1.0739,0.7706,0.5185,0.3744,0.2884,0.2495,0.2242,0.1993,0.1764,0.1569
AIM/CGE 2.2,EN_NPi2020_500f,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,6.793,2.7316,2.5722,2.985,2.6327,1.4912,1.0689,0.829,0.5837,0.4211,0.3219,0.2644,0.24,0.2131,0.1878,0.166
AIM/CGE 2.2,EN_NPi2020_600,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,6.793,2.3313,1.4172,1.5246,1.6838,1.201,1.02,0.8993,0.7406,0.6246,0.5435,0.4871,0.4494,0.4232,0.3931,0.3653
AIM/CGE 2.2,EN_NPi2020_600f,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,6.8323,3.128,3.3116,3.8011,3.242,1.8075,0.9633,0.8378,0.667,0.4877,0.3727,0.2956,0.2564,0.2288,0.2013,0.1764
AIM/CGE 2.2,EN_NPi2020_700,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,6.793,2.3313,1.7346,2.1382,2.0132,1.3853,1.0173,0.8606,0.7062,0.604,0.5325,0.4832,0.45,0.421,0.3905,0.3633
AIM/CGE 2.2,EN_NPi2020_700f,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,7.0706,3.6198,4.216,4.7258,3.7844,2.1489,1.064,0.8455,0.7428,0.5634,0.4302,0.3349,0.274,0.247,0.2181,0.1901
AIM/CGE 2.2,EN_NPi2020_800,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,6.793,2.604,2.349,2.8065,2.4415,1.4418,1.165,0.8216,0.6876,0.5965,0.5319,0.4865,0.4541,0.4201,0.3898,0.3634
AIM/CGE 2.2,EN_NPi2020_800f,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,7.4214,4.1451,4.9615,5.1679,4.2334,2.4516,1.3464,0.915,0.8245,0.6521,0.4997,0.3906,0.3075,0.2679,0.2384,0.2078
