Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.1,EMF33_Med2C_nobeccs,P2b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,37965.6248,31358.5514,25622.7239,21172.7682,20546.9196,18817.0458,17117.034,14971.1654,13003.0055,10961.3593,9248.9162,9572.1702,9867.3934,10192.8862,10480.8454,10738.8888,11001.8008
AIM/CGE 2.1,EMF33_Med2C_nofuel,P2b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38000.3385,31410.0831,25734.5186,21440.4345,20861.1814,19214.9049,17576.6467,15497.7722,13645.2744,11563.3193,9752.5674,10066.2186,10372.8584,10682.6696,10987.9655,11263.9447,11554.5486
AIM/CGE 2.1,EMF33_Med2C_none,P2b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38059.472,31495.9941,25877.5726,21701.0612,21185.306,19733.6699,18221.2376,16324.3362,14574.0082,12441.5251,10503.3501,10806.4711,11053.153,11366.4099,11688.4415,11974.16,12279.3468
AIM/CGE 2.1,EMF33_WB2C_cost100,P2b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,37965.4997,31367.2266,25664.0504,16783.5335,13894.1191,12034.8872,10187.9319,7657.6757,5051.4324,2150.1564,-151.2214,-44.4513,69.7854,228.7381,396.7512,544.1247,701.7011
AIM/CGE 2.1,EMF33_WB2C_full,P2b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,37965.6248,31358.5514,25621.9963,16688.5334,13852.681,11976.8125,10036.803,7336.2302,4774.878,2020.4126,-190.1736,-99.347,0.6901,142.1089,289.5144,422.216,566.9532
AIM/CGE 2.1,EMF33_tax_hi_full,P2a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39133.1173,33167.3774,33624.5526,33336.184,31788.0726,29257.5035,25676.4907,21233.2537,16509.4194,12540.5787,10403.0055,8834.376,7650.57,6515.9127,5459.4347,4435.1127,3475.4919
AIM/CGE 2.1,EMF33_tax_hi_none,P2a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39274.9054,33467.8352,34167.6669,34280.1807,33282.4262,31196.1934,28335.7851,24935.544,21311.2488,18153.6778,16831.2926,15716.6059,14654.1417,13502.7507,12307.4246,11019.4849,9658.4232
AIM/CGE 2.1,EMF33_tax_lo_full,P2a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39133.1173,35356.6413,36692.2281,37825.7538,38500.0868,38659.7198,38395.2562,37512.9689,36025.9886,34062.9833,31027.8913,27229.9944,23001.4399,19590.485,15804.5093,13788.2234,11912.7846
AIM/CGE 2.1,EMF33_tax_lo_none,P2a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39274.9054,35644.171,37201.2989,38684.9392,39840.5975,40486.1563,40739.98,40446.2397,39502.2958,37988.1883,35330.8087,31774.7704,27901.5938,25278.3814,22027.0286,20672.9389,19501.1957
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35582.9874,28915.3133,19765.5081,10656.1807,8605.1441,6843.0755,4662.6179,2350.3749,1053.5942,-506.2906,-1527.4586,-2451.3349,-3186.6789,-3918.2122,-4545.2595,-5076.2586,-4966.7896
