Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.1,CO_Bridge,P3c,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,8855.7366,7056.2815,6125.4648,5217.4273,4521.4892,3799.6934,3035.6144,2723.72405,2411.8337,2200.1636,1988.4935,1834.92025,1681.347,1565.61125,1449.8755,1350.6687000000002,1251.4619
AIM/CGE 2.1,CO_CurPol,P1b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,8856.0232,9070.4946,8998.294,9025.4646,9079.6098,9046.6492,8930.6456,9071.9721,9213.2986,9458.7259,9704.1532,9952.46135,10200.7695,10360.48625,10520.203,10547.2626,10574.3222
AIM/CGE 2.1,EMF33_Baseline,P1a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4845.4949,4980.271,5066.0331,5187.0371,5330.6851,5469.756,5579.3249,5920.6539,6473.4627,7275.5104,7969.6552,7978.8029,6792.7554,6057.0713,5768.7946,5529.6226,5277.5399
AIM/CGE 2.1,EMF33_Med2C_cost100,P2b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4618.8496,3021.9777,2146.8061,1543.6545,1686.8999,1742.4023,1686.3178,1604.6199,1470.8066,1337.959,1143.5603,1223.7425,1267.6002,1278.4691,1289.0777,1308.5581,1321.4783
AIM/CGE 2.1,EMF33_Med2C_full,P2b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4619.02,3023.8183,2156.055,1575.0959,1736.9742,1771.4714,1724.2381,1650.0603,1533.0961,1425.7742,1325.8861,1341.1209,1348.7832,1356.3953,1364.2129,1373.8501,1371.1251
AIM/CGE 2.1,EMF33_Med2C_nobeccs,P2b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4619.02,3023.8183,2155.1303,1549.6211,1620.8757,1546.3001,1501.7175,1334.9798,990.6451,646.7548,425.3934,462.1084,494.5785,528.2597,554.6041,581.8219,607.0764
AIM/CGE 2.1,EMF33_Med2C_nofuel,P2b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4613.3217,3012.9739,2126.9649,1482.5575,1517.321,1403.8564,1350.9293,1203.5614,834.6932,524.4463,339.3903,365.7179,391.3007,415.2602,438.0278,460.1384,480.5814
AIM/CGE 2.1,EMF33_Med2C_none,P2b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4605.9502,3001.7783,2099.6115,1438.6514,1448.4246,1323.401,1238.3089,1081.6983,724.6452,437.0994,275.4533,297.7268,314.209,332.1969,351.6769,369.9572,386.2493
AIM/CGE 2.1,EMF33_WB2C_cost100,P2b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4618.8496,3021.9777,2146.8061,952.4569,788.5447,770.3936,768.084,725.0669,538.2612,327.4304,160.4415,184.3013,213.684,244.933,274.335,302.7579,332.9224
AIM/CGE 2.1,EMF33_WB2C_full,P2b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4619.02,3023.8183,2156.055,975.7104,817.1098,835.0655,881.5689,889.0097,711.424,467.9139,264.8166,302.5019,341.8974,385.5853,432.4854,478.5324,526.1577
