Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.2,EN_NPi2020_300f,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,12829.7968,8761.7135,5971.943,3492.9271,18.5283,-2681.047,-5413.4293,-7518.7771,-8898.9523,-9740.5486,-10357.0,-10885.0,-11359.0,-11813.0,-12224.0,-12647.0
AIM/CGE 2.2,EN_NPi2020_400f,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,12829.7968,8847.341,6387.4954,3811.4905,753.3996,-1466.3199,-4291.8377,-6753.0505,-8660.8813,-9644.2584,-10404.0,-10930.0,-11386.0,-11830.0,-12267.0,-12693.0
AIM/CGE 2.2,EN_NPi2020_500f,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,12829.7968,9071.2924,6729.6761,3992.2918,1204.2442,2.6785,-2821.1107,-5614.1688,-7736.0394,-9261.282,-10074.0,-10755.0,-11193.0,-11644.0,-12091.0,-12543.0
AIM/CGE 2.2,EN_NPi2020_600,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,12829.7968,8761.7135,5710.1874,2637.6617,-1219.9168,-4036.3784,-4897.4116,-5385.4797,-5890.2416,-6317.8631,-6704.2287,-7059.2598,-7360.2635,-7618.3968,-7863.0915,-8072.6043
AIM/CGE 2.2,EN_NPi2020_600f,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,12845.7439,9346.5873,7029.4519,4380.4016,1771.0826,718.6007,-1271.6815,-4207.356,-6689.9692,-8554.306,-9625.1401,-10447.0,-10985.0,-11436.0,-11886.0,-12356.0
AIM/CGE 2.2,EN_NPi2020_700,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,12829.7968,8761.7135,6110.7993,3624.0288,355.0898,-2272.4889,-5010.3084,-5580.2118,-6050.1586,-6455.147,-6821.4798,-7162.0242,-7451.9963,-7695.0305,-7935.2544,-8137.4661
AIM/CGE 2.2,EN_NPi2020_700f,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,12940.8454,9751.6407,7446.7555,4934.1394,2527.2195,1076.0234,-219.4542,-2938.1238,-5611.9098,-7607.1198,-9160.4492,-10012.0,-10738.0,-11175.0,-11634.0,-12112.0
AIM/CGE 2.2,EN_NPi2020_800,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,12829.7968,8974.5467,6603.9782,3937.2257,1043.6469,-459.6221,-3519.3218,-5916.7474,-6245.9528,-6583.0488,-6908.7047,-7229.3202,-7507.8074,-7747.7598,-7961.9255,-8147.355
AIM/CGE 2.2,EN_NPi2020_800f,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,13075.9694,10138.8419,8082.5924,5827.6805,3341.7024,1738.3819,503.183,-1798.582,-4522.5393,-6614.5125,-8483.1501,-9474.0235,-10331.0,-10889.0,-11352.0,-11835.0
AIM/CGE 2.2,EN_NPi2020_900,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,12845.7439,9346.5873,7029.4519,4380.4016,1771.0826,718.6007,-1271.6815,-4207.356,-6056.3681,-6379.7542,-6702.7788,-7024.7017,-7320.6241,-7589.019,-7823.5649,-8015.7466
