Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.1,CD-LINKS_INDCi,P1c,Emissions|CO2|AFOLU,Mt CO2/yr,3149.5612,2576.7857,1490.3067,1394.044,1104.5667,780.2098,526.7738,601.175,492.0646,397.5187,298.3744,250.9523,198.4205,118.5397,43.5799,-9.4803,-82.4289
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,P3b,Emissions|CO2|AFOLU,Mt CO2/yr,3126.962,2524.8897,1277.0088,690.8608,-1335.655,-2791.6457,-2640.588,-3557.6692,-4825.357,-4257.4328,-3715.1583,-3640.0284,-3325.3336,-3041.6386,-2869.383,-2730.7401,-2466.4965
AIM/CGE 2.1,CD-LINKS_NPi,P1b,Emissions|CO2|AFOLU,Mt CO2/yr,3209.6978,2902.9059,2480.5526,2188.1818,1894.7076,1618.7158,1299.2514,1294.658,1170.7004,1077.5392,937.6523,838.4049,717.0973,604.4906,490.0618,387.4501,298.576
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,P2a,Emissions|CO2|AFOLU,Mt CO2/yr,3387.0825,1453.0996,346.2573,-1419.6617,-1498.644,-2094.8684,-3877.2278,-3893.3862,-3762.755,-3023.6115,-2500.0799,-2323.5597,-2070.0019,-2031.0408,-1884.0271,-1769.3866,-1710.6377
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,P2a,Emissions|CO2|AFOLU,Mt CO2/yr,3531.9215,1490.0923,398.242,-484.7144,-1654.8574,-2819.5188,-3407.6031,-3201.3964,-2941.4485,-2313.7611,-2128.4322,-1918.6053,-1711.1587,-1581.831,-1503.6609,-1426.2403,-1352.411
AIM/CGE 2.1,CD-LINKS_NPi2020_400,P2a,Emissions|CO2|AFOLU,Mt CO2/yr,3386.7432,1344.9762,93.7798,-1735.7999,-3282.1946,-4555.8275,-5280.7206,-5620.1025,-5539.2847,-5027.7913,-4886.4639,-4699.7091,-4256.7062,-3995.3996,-3763.2838,-3694.0338,-3452.6684
AIM/CGE 2.1,CD-LINKS_NoPolicy,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,3147.8026,2911.9689,2538.3317,2241.8745,1955.5685,1719.7246,1319.6208,1318.4478,1230.2827,1115.6999,1009.9585,891.5253,766.6065,651.9336,557.5094,427.6761,320.0488
AIM/CGE 2.1,CO_Bridge,P3c,Emissions|CO2|AFOLU,Mt CO2/yr,3282.0259,1813.4959,950.3739,-298.3425,-1399.416,-2067.681,-2755.0402,-2732.30865,-2709.5771,-2639.9986,-2570.4201,-2439.4989,-2308.5777,-2180.28675,-2051.9958,-1974.55045,-1897.1051
AIM/CGE 2.1,CO_CurPol,P1b,Emissions|CO2|AFOLU,Mt CO2/yr,3278.3358,3044.6187,2597.1054,2297.9376,1985.3398,1685.4448,1368.4537,1337.8278,1307.2019,1204.0047,1100.8075,1055.17785,1009.5482,944.2091,878.87,810.2058999999999,741.5418
AIM/CGE 2.1,EMF33_Baseline,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,6156.4376,5919.7051,5083.0297,4466.9929,4019.1142,3696.5898,3268.4723,3609.0515,3306.4637,2915.1613,2537.1483,2163.5429,1730.4842,1250.0707,1032.1009,875.4827,685.8285
AIM/CGE 2.1,EMF33_Med2C_cost100,P2b,Emissions|CO2|AFOLU,Mt CO2/yr,5701.7926,1291.0575,-53.3227,1924.8894,3629.585,1189.819,-842.7428,-2787.1447,-2883.1095,-3392.1276,1256.862,64.1482,-855.3416,-807.9867,-1047.5134,-1085.3531,-1073.2264
AIM/CGE 2.1,EMF33_Med2C_full,P2b,Emissions|CO2|AFOLU,Mt CO2/yr,5704.563,1292.3883,-46.2594,2645.1645,4746.0492,1135.643,103.3485,-1579.0246,-1574.8408,-2537.686,23.1813,-265.4546,-304.4203,-437.8361,-699.5016,-798.4406,-251.6866
AIM/CGE 2.1,EMF33_Med2C_nobeccs,P2b,Emissions|CO2|AFOLU,Mt CO2/yr,5704.563,1292.3883,-47.5251,1797.2786,2347.5971,-607.0075,-827.5635,-4400.4042,-4031.4343,-3947.346,-2285.904,-1592.7167,-1960.5071,-1980.7663,-1685.9077,-1447.97,-1487.0617
AIM/CGE 2.1,EMF33_Med2C_nofuel,P2b,Emissions|CO2|AFOLU,Mt CO2/yr,5686.4055,1273.6792,-84.4219,933.8224,555.8498,-2715.49,-962.4091,-4752.4707,-4491.6078,-4508.7861,-3162.5726,-2680.8824,-2960.9494,-2594.7214,-2333.2047,-2278.4355,-2256.9613
AIM/CGE 2.1,EMF33_Med2C_none,P2b,Emissions|CO2|AFOLU,Mt CO2/yr,5665.4956,1262.9389,-105.4366,837.6488,-242.9701,-3298.5818,-2139.4613,-4921.8565,-4730.8193,-4813.5517,-3813.2336,-3301.3738,-3880.046,-3254.6064,-2804.811,-2709.1439,-2716.5683
AIM/CGE 2.1,EMF33_WB2C_cost100,P2b,Emissions|CO2|AFOLU,Mt CO2/yr,5701.7926,1291.0575,-53.3227,-1952.0786,1037.4371,-2184.2287,-2180.5577,-4796.7632,-5168.7078,-4919.002,-3172.7757,-1628.2392,-2074.6732,-1526.7398,-1416.7758,-1220.0881,-1069.3363
AIM/CGE 2.1,EMF33_WB2C_full,P2b,Emissions|CO2|AFOLU,Mt CO2/yr,5704.563,1292.3883,-46.2594,-1931.3453,2767.7564,-662.6257,-496.6492,-3777.3059,-4906.7574,-4572.3013,-2695.7145,-1147.6755,-1189.8353,-781.0348,-238.5642,-505.4234,224.5707
AIM/CGE 2.1,EMF33_tax_hi_full,P2a,Emissions|CO2|AFOLU,Mt CO2/yr,6153.8367,1479.2642,1178.1183,-558.2782,-1650.5219,-2247.6167,-2681.7059,-2667.1808,-2831.5683,-2830.4562,-2875.515,-2986.1269,-3114.9502,-3250.9901,-3405.645,-3580.3545,-3768.3015
AIM/CGE 2.1,EMF33_tax_hi_none,P2a,Emissions|CO2|AFOLU,Mt CO2/yr,6025.0835,1463.8326,1132.2796,-654.5899,-1765.0842,-2416.2113,-2831.391,-3004.7982,-3128.6387,-3215.2416,-3298.3335,-3402.166,-3526.7365,-3664.3526,-3811.8158,-3965.9442,-4121.0945
AIM/CGE 2.1,EMF33_tax_lo_full,P2a,Emissions|CO2|AFOLU,Mt CO2/yr,6153.8367,1578.3398,2321.413,781.6129,-56.6485,-477.6621,-885.3129,-655.1346,-862.906,-1274.9594,-1534.7705,-1621.2569,-1678.0363,-1755.2198,-1842.6471,-1933.1785,-2057.1212
AIM/CGE 2.1,EMF33_tax_lo_none,P2a,Emissions|CO2|AFOLU,Mt CO2/yr,6025.0835,1563.9336,2202.8604,673.7723,-214.2399,-722.8123,-1204.942,-1152.0574,-1383.6718,-1693.7598,-1884.7548,-1932.7344,-1996.016,-2086.1547,-2199.1023,-2329.7237,-2466.9892
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3330.5652,1313.1497,-61.2836,-2009.2754,-2422.2614,-2955.212,-2934.9096,-3290.8575,-3679.9516,-3292.0444,-3183.9212,-2917.2858,-2913.5481,-3040.814,-3301.7439,-3753.596,-4089.0207
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3403.0551,1259.5849,-137.2124,-2093.1718,-2604.8197,-3281.8045,-3297.122,-3605.7324,-4015.5677,-3664.2768,-3374.8777,-3218.0452,-3337.8749,-3562.9464,-3917.5402,-4453.9875,-4958.6769
