Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.1,EMF33_tax_lo_none,P2a,Secondary Energy|Electricity|Coal,EJ/yr,40.0366,34.7403,34.9443,35.62,35.7611,35.4901,34.7445,33.9096,34.492,36.4762,41.1221,50.2514,61.8543,65.7703,68.2732,70.4145,70.9404
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,P2,Secondary Energy|Electricity|Coal,EJ/yr,39.671,27.7716,13.8175,5.7938,6.7139,9.9959,17.385,25.7592,25.3485,25.4689,25.6712,24.8847,24.0442,20.8279,16.2626,9.3043,7.967
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,P2,Secondary Energy|Electricity|Coal,EJ/yr,39.5221,26.2365,12.987,5.34,6.1421,9.3034,17.1919,23.9542,23.2329,22.6801,21.1763,18.8956,16.2572,12.0147,7.5436,2.511,1.6539
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,P2,Secondary Energy|Electricity|Coal,EJ/yr,39.671,27.1043,18.3098,19.2063,20.6099,21.7838,24.3378,25.4431,24.2713,24.5258,25.4552,26.9239,27.9923,28.1566,27.8918,26.3505,23.0558
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,P2,Secondary Energy|Electricity|Coal,EJ/yr,39.5221,25.5764,17.0185,17.7709,19.1974,20.612,23.5153,24.7562,23.6596,24.1895,25.1157,25.3947,25.3834,24.1234,21.8426,18.3961,14.0712
AIM/CGE 2.1,TERL_Baseline_LowCarbonTransportPolicy,P1a,Secondary Energy|Electricity|Coal,EJ/yr,40.6477,46.7914,51.9834,57.5752,62.0746,65.3667,65.3673,64.3237,65.4699,69.6758,76.954,86.4077,96.0037,105.197,110.0325,113.1291,118.8364
AIM/CGE 2.1,TERL_Baseline_NoTransportPolicy,P1a,Secondary Energy|Electricity|Coal,EJ/yr,41.2421,47.4751,52.8006,58.3699,62.6041,66.028,65.7315,65.249,67.0036,71.7921,79.2271,88.7166,98.112,107.0683,110.6671,116.8089,124.4291
AIM/CGE 2.2,EN_INDCi2030_1000f,P3b,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,43.0136,45.3524,38.727,25.9108,25.4542,23.7739,22.0583,18.6359,15.6272,13.0112,10.9497,9.6891,8.4688,7.3687,6.3659,5.4706
AIM/CGE 2.2,EN_INDCi2030_1200,P3b,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,43.0136,45.3524,38.727,26.3743,26.2189,25.0983,24.5411,20.8829,17.7004,15.1691,13.2494,11.7381,10.2988,8.9825,7.775,6.7361
AIM/CGE 2.2,EN_INDCi2030_1200f,P3b,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,43.0136,45.3524,38.727,29.4827,30.6183,29.2067,28.8194,26.6372,22.9011,19.9037,17.319,14.8992,13.1958,11.6078,10.1199,8.7707
AIM/CGE 2.2,EN_INDCi2030_1400,P3b,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,43.0136,45.3524,38.727,31.7392,33.8235,31.9588,31.501,30.9619,27.1749,23.7919,21.1345,19.0438,16.947,14.9503,13.1536,11.4604
AIM/CGE 2.2,EN_INDCi2030_1400f,P3b,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,43.0136,45.3524,38.727,34.3886,34.885,32.4193,31.692,32.0387,29.4422,26.0013,23.3924,20.6432,17.8178,15.5953,13.7666,12.0387
AIM/CGE 2.2,EN_INDCi2030_1600,P3b,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,43.0136,45.3524,38.727,35.8479,35.149,32.4197,31.5043,31.8827,30.1634,26.905,24.2699,21.5346,19.2374,17.0922,15.056,13.1464
AIM/CGE 2.2,EN_INDCi2030_1600f,P3b,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,43.0136,45.3524,38.727,36.8042,35.4562,32.5836,31.3939,31.6733,30.8382,27.7789,25.0786,22.4335,19.6394,17.2726,15.2039,13.2915
AIM/CGE 2.2,EN_INDCi2030_1800,P3b,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,43.0136,45.3524,38.727,38.2197,36.2094,33.0945,31.2331,30.9666,31.8544,29.7455,27.4531,24.866,22.0481,19.6013,17.3035,15.1436
AIM/CGE 2.2,EN_INDCi2030_1800f,P3b,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,43.0136,45.3524,38.727,38.2197,36.2094,33.0945,31.2331,30.9666,31.8544,29.7455,27.4531,24.866,22.0481,19.6013,17.3035,15.1436
